Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.9931818181818182,0.9935064935064936,0.993181818181818,0.9931775541531639
XGBoost,0.9863636363636363,0.9874065328610784,0.9863636363636363,0.9862103514221613
SVM,0.9840909090909091,0.9856099105110961,0.9840909090909092,0.9840381050638686
